model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_02,title_only,0.7204,0.05,0.125,0.0714,1,19,66,7,93
llama3.1,few_shot,Llama 3.1 8B,project_02,title_only,0.3333,0.1143,1.0,0.2051,8,62,23,0,93
llama3.1,cot,Llama 3.1 8B,project_02,title_only,0.6344,0.0667,0.25,0.1053,2,28,57,6,93
llama3.1,few_shot_cot,Llama 3.1 8B,project_02,title_only,0.1183,0.0889,1.0,0.1633,8,82,3,0,93
mistral,zero_shot,Mistral 7B Instruct v0.3,project_02,title_only,0.1613,0.093,1.0,0.1702,8,78,7,0,93
mistral,few_shot,Mistral 7B Instruct v0.3,project_02,title_only,0.1828,0.0952,1.0,0.1739,8,76,9,0,93
mistral,cot,Mistral 7B Instruct v0.3,project_02,title_only,0.2796,0.1067,1.0,0.1928,8,67,18,0,93
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_02,title_only,0.086,0.086,1.0,0.1584,8,85,0,0,93
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_02,title_only,0.7097,0.2286,1.0,0.3721,8,27,58,0,93
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_02,title_only,0.7849,0.2273,0.625,0.3333,5,17,68,3,93
qwen2.5,cot,Qwen 2.5 14B Instruct,project_02,title_only,0.2283,0.1013,1.0,0.1839,8,71,13,0,92
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_02,title_only,0.2151,0.0988,1.0,0.1798,8,73,12,0,93
ensemble,zero_shot,ensemble,project_02,title_only,0.6413,0.1951,1.0,0.3265,8,33,51,0,92
ensemble,few_shot,ensemble,project_02,title_only,0.3478,0.1176,1.0,0.2105,8,60,24,0,92
ensemble,cot,ensemble,project_02,title_only,0.2935,0.1096,1.0,0.1975,8,65,19,0,92
ensemble,few_shot_cot,ensemble,project_02,title_only,0.0978,0.0879,1.0,0.1616,8,83,1,0,92
