model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_05,title_only,0.6596,0.037,0.1429,0.0588,1,26,61,6,94
llama3.1,few_shot,Llama 3.1 8B,project_05,title_only,0.266,0.0811,0.8571,0.1481,6,68,19,1,94
llama3.1,cot,Llama 3.1 8B,project_05,title_only,0.6374,0.1176,0.5714,0.1951,4,30,54,3,91
llama3.1,few_shot_cot,Llama 3.1 8B,project_05,title_only,0.1489,0.0805,1.0,0.1489,7,80,7,0,94
mistral,zero_shot,Mistral 7B Instruct v0.3,project_05,title_only,0.1277,0.069,0.8571,0.1277,6,81,6,1,94
mistral,few_shot,Mistral 7B Instruct v0.3,project_05,title_only,0.0957,0.0761,1.0,0.1414,7,85,2,0,94
mistral,cot,Mistral 7B Instruct v0.3,project_05,title_only,0.0851,0.0659,0.8571,0.1224,6,85,2,1,94
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_05,title_only,0.0957,0.0761,1.0,0.1414,7,85,2,0,94
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_05,title_only,0.6809,0.1034,0.4286,0.1667,3,26,61,4,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_05,title_only,0.8298,0.2353,0.5714,0.3333,4,13,74,3,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_05,title_only,0.1596,0.061,0.7143,0.1124,5,77,10,2,94
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_05,title_only,0.1702,0.0723,0.8571,0.1333,6,77,10,1,94
ensemble,zero_shot,ensemble,project_05,title_only,0.5638,0.075,0.4286,0.1277,3,37,50,4,94
ensemble,few_shot,ensemble,project_05,title_only,0.266,0.0811,0.8571,0.1481,6,68,19,1,94
ensemble,cot,ensemble,project_05,title_only,0.1596,0.061,0.7143,0.1124,5,77,10,2,94
ensemble,few_shot_cot,ensemble,project_05,title_only,0.0851,0.0753,1.0,0.14,7,86,1,0,94
