model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_05,title_only,0.8404,0.3333,0.1538,0.2105,2,4,77,11,94
llama3.1,few_shot,Llama 3.1 8B,project_05,title_only,0.2234,0.1512,1.0,0.2626,13,73,8,0,94
llama3.1,cot,Llama 3.1 8B,project_05,title_only,0.4111,0.1273,0.5833,0.209,7,48,30,5,90
llama3.1,few_shot_cot,Llama 3.1 8B,project_05,title_only,0.3077,0.1711,1.0,0.2921,13,63,15,0,91
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_05,title_only,0.4574,0.1935,0.9231,0.32,12,50,31,1,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_05,title_only,0.4574,0.1833,0.8462,0.3014,11,49,32,2,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_05,title_only,0.2151,0.1512,1.0,0.2626,13,73,7,0,93
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_05,title_only,0.1383,0.1383,1.0,0.243,13,81,0,0,94
ensemble,zero_shot,ensemble,project_05,title_only,0.8404,0.3333,0.1538,0.2105,2,4,77,11,94
ensemble,few_shot,ensemble,project_05,title_only,0.2234,0.1512,1.0,0.2626,13,73,8,0,94
ensemble,cot,ensemble,project_05,title_only,0.4043,0.1356,0.6154,0.2222,8,51,30,5,94
ensemble,few_shot_cot,ensemble,project_05,title_only,0.2979,0.1646,1.0,0.2826,13,66,15,0,94
