model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_05,title_desc,0.8617,0.0,0.0,0.0,0,13,81,0,94
llama3.1,few_shot,Llama 3.1 8B,project_05,title_desc,0.5957,0.0,0.0,0.0,0,38,56,0,94
llama3.1,cot,Llama 3.1 8B,project_05,title_desc,0.7,0.0,0.0,0.0,0,27,63,0,90
llama3.1,few_shot_cot,Llama 3.1 8B,project_05,title_desc,0.0659,0.0,0.0,0.0,0,85,6,0,91
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_05,title_desc,0.4362,0.0,0.0,0.0,0,53,41,0,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_05,title_desc,0.5745,0.0,0.0,0.0,0,40,54,0,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_05,title_desc,0.1702,0.0,0.0,0.0,0,78,16,0,94
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_05,title_desc,0.117,0.0,0.0,0.0,0,83,11,0,94
ensemble,zero_shot,ensemble,project_05,title_desc,0.8617,0.0,0.0,0.0,0,13,81,0,94
ensemble,few_shot,ensemble,project_05,title_desc,0.5957,0.0,0.0,0.0,0,38,56,0,94
ensemble,cot,ensemble,project_05,title_desc,0.7021,0.0,0.0,0.0,0,28,66,0,94
ensemble,few_shot_cot,ensemble,project_05,title_desc,0.0851,0.0,0.0,0.0,0,86,8,0,94
