issue_id,title,ground_truth,pred_llama3.1,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-253177,Inconsistent output between java driver and mongo shell,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253467,size not accepting $numberlong argument,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253452,MongoCollection.insertOne throws NullPointerException with WriteConcern.UNACKNOWLEDGED & retryWrites=true,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253505,Add an option to toggle SSL certificate validation,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255080,JSON parser parses braces incorrectly,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-255534,Looking for performance tips loading results from a find() with the java driver.,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255332,Binary field $type is represented in JSON as a number instead of a two-byte hex string,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254781,Iterable Codec,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254021,NettyStream does not handle clean socket closures from the server,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255615,Include cursor-id in CursorNotFound exception,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254855,Discrimination in Jackson-Codec,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-256012,Add w/wtimeout to WriteConcern (getLastError),0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253265,Provide an option to use pooled NIO direct buffers to minimise impact on GC,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254440,DocumentCodec and DBObjectCodec treat nested Maps/Iterables differently,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255480,Secondary reads on lists of mongos fail until first write,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255171,Saved extra fields for Gridfs does not go in metadata sub-document,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254446,Repeated connection with expected authentication errors is not deterministic,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254233,Custom logging implementation,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252701,Update documentation for Text Search,0,1,1,2,2,1,project_05,title_desc,ambiguity,zero_shot
ISSUE-255572,Morphia Integration in java driver,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255511,Respect the QueryFailure response flag in OP_REPLY,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254614,2.12.x breaks compatibility with mongoDB v1.8,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253354,Deprecate DBCursor#addSpecial,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255153,update description of fsync write concern flag,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255938,DBCursor.copy() does not copy batch size,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253697,"upload mo artifacts"""" Evergreen post-task is failing",0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253111,minWireVersion is 1 but it should be 2,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252640,Documentation links 404,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255236,DBObject.equals can fail when binary data exists,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255324,Increase GridFS max chunk size,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254743,Server selection exception should chain exceptions from server monitors,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253069,Remove mongodb-driver-embedded-android package,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254867,Add type-safe jsMode support in MapReduceCommand,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-252707,Storing unsigned integer to Mongodb from java,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255700,Possible bug with JSON parser,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253917,$geoNear Aggregation pipeline in Mongo JAVA driver,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-254894,The aggregation method is inaccurately showing type,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253334,Deprecate MongoIterable#forEach,0,0,0,2,0,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-255443,Errors when DBRef's $id is Object instead of simple value,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
ISSUE-253221,mongodb+srv schema can cause NullPointerException,0,0,1,2,1,0,project_05,title_desc,ambiguity,zero_shot
