issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,1,1,Yes,e8827ad75c6018e4,mistral:7b,0,2026-06-17T19:37:04.023996,project_01,title_only,ambiguity,few_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,1,1,Yes,87034e6118c2df2d,mistral:7b,0,2026-06-17T19:37:04.514009,project_01,title_only,ambiguity,few_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,1,Yes,90b3f28247fde664,mistral:7b,0,2026-06-17T19:37:05.003050,project_01,title_only,ambiguity,few_shot
ISSUE-2665,Spike to model the cluster nodes.,1,1,Yes,9c06b9b563ab10da,mistral:7b,0,2026-06-17T19:37:05.505522,project_01,title_only,ambiguity,few_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,1,Yes,fabfb7f4d268df62,mistral:7b,0,2026-06-17T19:37:06.012924,project_01,title_only,ambiguity,few_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,1,Yes,a2fc50c73bee7fcf,mistral:7b,0,2026-06-17T19:37:06.499827,project_01,title_only,ambiguity,few_shot
ISSUE-2850,Richer module options metadata,1,1,Yes,a48e6128d8a2f407,mistral:7b,0,2026-06-17T19:37:07.002328,project_01,title_only,ambiguity,few_shot
ISSUE-0549,Port FTP as s-c-s source module,0,1,Yes,85eecb162ae2c763,mistral:7b,0,2026-06-17T19:37:07.502444,project_01,title_only,ambiguity,few_shot
ISSUE-2979,Change url to access UI from browser,0,1,Yes,8aef0ea19213a2a3,mistral:7b,0,2026-06-17T19:37:07.998978,project_01,title_only,ambiguity,few_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,1,Yes,06651c5e491f9aa1,mistral:7b,0,2026-06-17T19:37:08.505583,project_01,title_only,ambiguity,few_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,1,Yes,4f8c3bd01b1915c6,mistral:7b,0,2026-06-17T19:37:09.005891,project_01,title_only,ambiguity,few_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),0,1,Yes,af56d97d408c1e5f,mistral:7b,0,2026-06-17T19:37:09.502201,project_01,title_only,ambiguity,few_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,1,Yes,358a26cd8a630844,mistral:7b,0,2026-06-17T19:37:10.010698,project_01,title_only,ambiguity,few_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,1,1,Yes,8cecaaee69798644,mistral:7b,0,2026-06-17T19:37:10.515432,project_01,title_only,ambiguity,few_shot
