Issue_ID,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,sum_amb_T,sum_amb_TD,sum_inc_T,sum_inc_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD
ISSUE-207056,Build badges in several github repos have stopped working,"See the attached image. This is after the migration to ci.evernym.com. The readme.md files on several repos need to be updated to the new CI URL. As an aside, currently build badges for master have been implemented. Those for stable also need to be added.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-206571,Indy-sdk integration,"- As of now, we have to support two versions of 'client' code: python (indy-client) and indy-sdk - We need to use indy-sdk only (possibly integrate it into current CLI)",0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,4,0,0,0,1,0
ISSUE-205754,Assist EV QA,"The Evernym Indy Node team will be assisting other Evernym teams with QA tasks. *Acceptance Criteria* * Each engineer will spend one day running QA scripts provided by the Evernym QA team. * Instructions on what to test, and how to report the results will be provided by [~<USER>. * Part of the day should be spent doing structured QA, and part should be spent doing related exploratory testing. * Also provide feedback on how to improve the testing instructions and activities.",0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,1,0
ISSUE-206786,I should be able to load a .sovrin file from a URL directly into the CLI,From James: Downloading .sovrin files before they can be opened by the CLI is awkward -- we should support loading files from a URL directly in the CLI.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-206184,Configurations should contain certain version of pip,"Node service cannot start after pip 10 release Apr 16 08:46:31 b9cc23063bef systemd[1]: Started Indy Node. Apr 16 08:46:32 b9cc23063bef env[114]: Traceback (most recent call last): Apr 16 08:46:32 b9cc23063bef env[114]: File """"/usr/local/bin/start_indy_node"""", line 6, in <module> Apr 16 08:46:32 b9cc23063bef env[114]: from indy_node.utils.node_runner import run_node Apr 16 08:46:32 b9cc23063bef env[114]: File """"/usr/local/lib/python3.5/dist-packages/indy_node/utils/node_runner.py"""", line 10, in <module> Apr 16 08:46:32 b9cc23063bef env[114]: from indy_node.server.node import Node Apr 16 08:46:32 b9cc23063bef env[114]: File """"/usr/local/lib/python3.5/dist-packages/indy_node/server/node.py"""", line 15, in <module> Apr 16 08:46:32 b9cc23063bef env[114]: from plenum.server.node import Node as PlenumNode Apr 16 08:46:32 b9cc23063bef env[114]: File """"/usr/local/lib/python3.5/dist-packages/plenum/server/node.py"""", line 69, in <module> Apr 16 08:46:32 b9cc23063bef env[114]: from plenum.server.monitor import Monitor Apr 16 08:46:32 b9cc23063bef env[114]: File """"/usr/local/lib/python3.5/dist-packages/plenum/server/monitor.py"""", line 26, in <module> Apr 16 08:46:32 b9cc23063bef env[114]: pluginManager = PluginManager() Apr 16 08:46:32 b9cc23063bef env[114]: File """"/usr/local/lib/python3.5/dist-packages/plenum/server/notifier_plugin_manager.py"""", line 35, in __init__ Apr 16 08:46:32 b9cc23063bef env[114]: self.importPlugins() Apr 16 08:46:32 b9cc23063bef env[114]: File """"/usr/local/lib/python3.5/dist-packages/plenum/server/notifier_plugin_manager.py"""", line 102, in importPlugins Apr 16 08:46:32 b9cc23063bef env[114]: plugins = self._findPlugins() Apr 16 08:46:32 b9cc23063bef env[114]: File """"/usr/local/lib/python3.5/dist-packages/plenum/server/notifier_plugin_manager.py"""", line 131, in _findPlugins Apr 16 08:46:32 b9cc23063bef env[114]: for pkg in pip.utils.get_installed_distributions() Apr 16 08:46:32 b9cc23063bef env[114]: AttributeError: module 'pip' has no attribute 'utils' Apr 16 08:46:32 b9cc23063bef systemd[1]: indy-node.service: Main process exited, code=exited, status=1/FAILURE Apr 16 08:46:32 b9cc23063bef systemd[1]: indy-node.service: Unit entered failed state. Apr 16 08:46:32 b9cc23063bef systemd[1]: indy-node.service: Failed with result 'exit-code'. Apr 16 08:46:43 b9cc23063bef systemd[1]: indy-node.service: Service hold-off time over, scheduling restart. Apr 16 08:46:43 b9cc23063bef systemd[1]: Stopped Indy Node. Apr 16 08:46:43 b9cc23063bef systemd[1]: indy-node.service: Start request repeated too quickly. Apr 16 08:46:43 b9cc23063bef systemd[1]: Failed to start Indy Node.",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0
ISSUE-205916,read_ledger tool is not able to read the sovrin plugin ledger,"The read_ledger tool is unable to find the sovrin payment plugin ledgers The fix is to add the following to read_ledger where the accepted --type is located elif type_ == 'token': storage_name = config.tokenTransactionsFile elif type_ == 'sovtoken': storage_name = config.sovtokenTransactionsFile You then need to add the following into the indy_config.py on the node in /etc/indy tokenTransactionsFile = """"token_transactions"""" sovtokenTransactionsFile = """"sovtoken_transactions""""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-206000,AttributeError: 'NoneType' object has no attribute 'request' during load,"*Steps to Reproduce:* 1. Prepare new pool with 25 nodes 2. Run load test from 5 instances python3 perf_processes.py -g pool_transactions_genesis -b 10 -r 2 -m t -c 100 -t 50 -n 3 -k """""""" 500 clients, 30 writes / sec *Actual results:* Pool stopped writing after only 11k txns (and less than 90 minutes) and cannot finish catchup *Additional info:* Logs will be available on LogProcessor:~/logs/attribute_error_11jul2018",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-207179,Make sure Nodes upgrade eagerly,"jlaw [7:53 AM] *Nodes upgrade eagerly.* When a node is getting caught up, and it processes an upgrade txn, it should schedule it just like it normally would. If the date/time is in the past, then it upgrades immediately. Possibly a new story.",0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,1,0
ISSUE-207175,Testing: do a lot of concurrent writes and reads to same values,"*Description* Test the following scenario: * Do a lot of concurrent writes and reads to same values (like change verkey from different clients and read in parallel). Write test scripts for performing this scenario. *Findings* Found the following bugs using the tests written in scope of this ticket: INDY-354, INDY-355.",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,0
ISSUE-205301,Responses to client validator info requests very slow on a StagingNet node,"A node on the Sovrin StagingNet, sovrin.sicpa.com, responds to validator-info commands from clients (indy-cli or other script) in about 34 seconds – much slower than all other nodes. Running from the local command line, the steward reports that it returns results in less than 2 seconds, which is normal. The steward has provided some other diagnostics as well, and there are no obvious problems: skrieg@snextsovrin01v:~$ top -n 1 top - 10:30:45 up 16 days, 4:27, 1 user, load average: 0.19, 0.27, 0.31 Tasks: 198 total, 2 running, 196 sleeping, 0 stopped, 0 zombie %Cpu(s): 16.1 us, 0.7 sy, 0.0 ni, 83.1 id, 0.1 wa, 0.0 hi, 0.0 si, 0.0 st KiB Mem : 24690072 total, 22262812 free, 756816 used, 1670444 buff/cache KiB Swap: 1999868 total, 1999868 free, 0 used. 23515916 avail Mem PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND 16267 indy 20 0 1869952 606508 17904 R 25.0 2.5 345:19.09 python3 1 root 20 0 185396 6132 4188 S 0.0 0.0 0:25.88 systemd 2 root 20 0 0 0 0 S 0.0 0.0 0:00.13 kthreadd 3 root 20 0 0 0 0 S 0.0 0.0 0:02.52 ksoftirqd/0 5 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kworker/0:0H 7 root 20 0 0 0 0 S 0.0 0.0 1:07.01 rcu_sched 8 root 20 0 0 0 0 S 0.0 0.0 0:00.00 rcu_bh 9 root rt 0 0 0 0 S 0.0 0.0 0:00.37 migration/0 10 root rt 0 0 0 0 S 0.0 0.0 0:02.62 watchdog/0 11 root rt 0 0 0 0 S 0.0 0.0 0:02.79 watchdog/1 12 root rt 0 0 0 0 S 0.0 0.0 0:00.64 migration/1 13 root 20 0 0 0 0 S 0.0 0.0 0:10.89 ksoftirqd/1 15 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kworker/1:0H 16 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kdevtmpfs 17 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 netns 18 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 perf 19 root 20 0 0 0 0 S 0.0 0.0 0:00.44 khungtaskd 20 root 0 -20 0 0 0 S 0.0 0.0 0:00.75 writeback 21 root 25 5 0 0 0 S 0.0 0.0 0:00.00 ksmd 22 root 39 19 0 0 0 S 0.0 0.0 0:00.00 khugepaged 23 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 crypto 24 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kintegrityd 25 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset 26 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kblockd 27 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 ata_sff 28 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 md 29 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 devfreq_wq 34 root 20 0 0 0 0 S 0.0 0.0 0:00.00 kswapd0 35 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 vmstat 36 root 20 0 0 0 0 S 0.0 0.0 0:00.00 fsnotify_mark 37 root 20 0 0 0 0 S 0.0 0.0 0:00.00 ecryptfs-kthrea 53 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 kthrotld 54 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 acpi_thermal_pm 55 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset 56 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset 57 root 0 -20 0 0 0 S 0.0 0.0 0:00.00 bioset skrieg@snextsovrin01v:~$ free -m total used free shared buff/cache available Mem: 24111 738 21741 56 1631 22965 Swap: 1952 0 1952 skrieg@snextsovrin01v:~$ sudo lsof -p 16267 -n | wc -l 438 Please examine the logs and see if you have suggestions to explain this behavior. The biggest concern is whether this slow response behavior extends to other client requests. If it is only slow for validator info requests, we can live with that. But if this node also takes 34 seconds to respond to other client queries, that is a problem.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
