Issue_ID,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,sum_amb_T,sum_amb_TD,sum_inc_T,sum_inc_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD
ISSUE-251590,Test with latest versions of Boost,Boost is up to 1.63. We should test against all recent versions on both Linux and Windows and document (or fix) compatibility.,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0
ISSUE-252462,Determine C++ Driver version from examining the headers,"This is in relation to at question at the google groups forum. https://www.google.com.au/url?sa=t&rct=j&q=&esrc=s&source=web&cd=6&cad=rja&ved=0CF0QFjAF&url=https%3A%2F%2Fgroups.google.com%2Fd%2Ftopic%2Fmongodb-user%2FS2cIukeEsso&ei=2tQaUaWmKO6fiAfg74GYDw&usg=AFQjCNHGGzVZTfUugOEPz2Hi7RcnhWxCCg As MongoDB is a bit of a moving target as far as changes and enhancements to the server and drivers are concerned, it would be nice to be able to determine the version of the driver from the C++ Driver header files. This could thenbe used in build systems, so that build can fail elegantly at the configure stage instead of during build or even worse during runtime when database features are absent the an older driver version.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-250680,Use cmake,"not make/msbuild, in compile scripts"""",Our documentation and test scripts configure using cmake and then use the native build system to compile. E.g. libmongoc's installation documentation has this for Unix: $ cmake -DENABLE_AUTOMATIC_INIT_AND_CLEANUP=OFF .. $ make install And this for Windows: $ cmake -G """"Visual Studio 14 2015 Win64"""" -DCMAKE_INSTALL_PREFIX=""""C:\mongo-c-driver"""" .. $ msbuild.exe /p:Configuration=RelWithDebInfo INSTALL.vcxproj Using } for the build instructions may simplify this a bit, changing both build instructions to: cmake --build cmake-build --config RelWithDebInfo --target install In addition, if we take this approach we may be able to consolidate some of compile-unix.sh, compile-windows.sh, and compile-windows-mingw.bat. Documenting this as the way to build may also prevent users from accidentally mixing release/debug runtimes in their application, as there have been several related bug reports: CXX-1961, CDRIVER-3558, CXX-1780 This ticket is associated with the compilation script update.",1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,3,0,0,0,1,0
ISSUE-252307,Include regex elements in BSONArrayBuilder,"The BSONArrayBuilder class in the MongoDB C++ driver API (http://api.mongodb.org/cplusplus/current/classmongo_1_1_b_s_o_n_array_builder.html) allows to build BSON arrays, eg. BSONArrayBuilder ba; ba.append(""""foo""""); ba.append(""""bar""""); ... connection->query(""""col"""", BSON(""""x"""" << BSON(""""$in"""" << ba.arr()))); will do a query equal to the following at mongo shell: db.col.find(}) However, It seems that BSONArrayBuilder lacks a method to build a query based on regex instead of strings, in the following way (that works at mongo shell): db.col.find(}) This issue is about implementing the above functionality (or maybe I'm wrong... :) Note that Note that BSONObjBuilder class (http://api.mongodb.org/cplusplus/current/classmongo_1_1_b_s_o_n_obj_builder.html) has an appendRegex() method... I wonder why a similar method has not been included in the BSONArrayBuilder class.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
ISSUE-250777,Defer checking if a deployment supports sessions until the session's first operation,"<!--This block of HTML and the script in it auto-populate the SPEC ticket description on page load.--> <div id=""""script-target-wrapper""""> <br> <b>DRIVERS Ticket Description</b> <div id=""""script-target""""> Script Target - If you can read this text, the script has failed <script> $.get('https://jira.mongodb.org/browse/DRIVERS-759', function(data) ); </script> </div> </div>",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ISSUE-252448,Static archive fails to force inclusion of global initializers,"The client lib requires that some MONGO_INITIALIZERS be run which live in translation units that are otherwise unnecessary for some output binaries. I.e. they exist in cpp files which resolve no symbols in a hypothetical, useful output binary. In the case of the static archive build of the library, this means that clients must link with --whole-archive, or in the case of windows, that they cannot use the static archive at all.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-251874,Add ordered option to insert_many,All }s are currently unordered. We should allow users to pass this as an option.,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0
ISSUE-251692,Bug When Trying to 'Make',"Downloaded the most recent version from GitHub. Keep getting this error when trying to 'make', log output below... Victors-MacBook-Pro:mongo-cxx-driver-master Victor$ make && sudo make install [ 1%] Building CXX object src/bsoncxx/CMakeFiles/bsoncxx.dir/array/element.cpp.o In file included from /Users/Victor/Documents/mongo-cxx-driver-master/src/bsoncxx/array/element.cpp:15: In file included from /Users/Victor/Documents/mongo-cxx-driver-master/src/bsoncxx/array/element.hpp:20: In file included from /Users/Victor/Documents/mongo-cxx-driver-master/src/bsoncxx/document/element.hpp:20: /Users/Victor/Documents/mongo-cxx-driver-master/src/bsoncxx/stdx/string_view.hpp:22:10: fatal error: 'core/string.hpp' file not found #include <core/string.hpp> ^ 1 error generated. make[2]: *** [src/bsoncxx/CMakeFiles/bsoncxx.dir/array/element.cpp.o] Error 1 make[1]: *** [src/bsoncxx/CMakeFiles/bsoncxx.dir/all] Error 2 make: *** [all] Error 2",0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,3,0,1,0,1,0
ISSUE-251622,Can't construct operation_exception without a server error,"As mentioned in a comment in CXX-986: > In addition, I think the implementation of operation_exception is incomplete; _raw_server_error is stdx::optional<bsoncxx::document::value>, but there is no way to construct operation_exception without a valid bsoncxx::document::value.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-252149,Polyfill stdx::string_view,Find a way to portably provide http://en.cppreference.com/w/cpp/header/experimental/string_view,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,4,1,0,0,1,0
ISSUE-252321,Files dependent on make_shared should include make_shared.hpp,"Older boost versions did not include make_shared.hpp in smart_ptr.hpp, but we currently assume in the 26compat branch that the include of smart_ptr.hpp in pch.h will provide boost::make_shared. Files dependent on make_shared should explicitly include the make_shared.hpp header. Note that this does not affect legacy-0.8+ as pch.h was removed and make_shared.hpp added as needed throughout the codebase.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-252438,Update travis configuration to run the client examples,"The client examples assume that there is a mongod running on 27999 with --httpinterface enabled. We should update the travis config to start such a mongod, and then invoke the smokeClient target.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-251649,Add support for MongoDB 3.4 to the legacy C++ driver.,"h4. Summary We have committed, semi-officially, to add support for MongoDB 3.4 to the legacy C++ driver. That is probably the last release for which we will do so, and we may decide not to tackle some features, but there may be some issues we must address. h4. Motivation h4. Documentation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-251049,Resync SDAM tests,Added some mixed case hostnames into the SDAM test corpus.,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,2,1,1,0,1,0
ISSUE-252416,rotatable_file_writer_test does not compile in C++11 mode with libc++,"Using this build line on OS X Mavericks with XCode 5.1: scons --cache --libc++ --osx-version-min=10.8 --sharedclient --prefix=/Users/andrew/Documents/10gen/dev/src/mongo-client-install --ssl --use-sasl-client --dbg=on --opt=on --extrapath=/opt/local --c++11 -j10 --mute . -k The test fails to compile as follows: Compiling build/cached/mongo/logger/rotatable_file_writer_test.o src/mongo/logger/rotatable_file_writer_test.cpp:52:13: error: no matching conversion for functional-style cast from 'std::__1::basic_ostream<char>' to '::testing::AssertionResult' ASSERT_TRUE(writerUse.stream() << """"Level 1 message."""" << std::endl); ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ src/third_party/gtest-1.7.0/include/gtest/gtest.h:1921:3: note: expanded from macro 'ASSERT_TRUE' GTEST_TEST_BOOLEAN_(condition, #condition, false, true, \ ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ src/third_party/gtest-1.7.0/include/gtest/internal/gtest-internal.h:1111:7: note: expanded from macro 'GTEST_TEST_BOOLEAN_' ::testing::AssertionResult(expression)) \ ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ src/third_party/gtest-1.7.0/include/gtest/gtest.h:260:3: note: candidate constructor not viable: no known conversion from 'std::__1::basic_ostream<char>' to 'const testing::AssertionResult' for 1st argument AssertionResult(const AssertionResult& other); ^ src/third_party/gtest-1.7.0/include/gtest/gtest.h:262:12: note: candidate constructor not viable: no known conversion from 'std::__1::basic_ostream<char>' to 'bool' for 1st argument explicit AssertionResult(bool success) : success_(success) {} ^ src/mongo/logger/rotatable_file_writer_test.cpp:53:13: error: no matching conversion for functional-style cast from 'std::__1::basic_ostream<char>' to '::testing::AssertionResult' ASSERT_TRUE(writerUse.stream() << """"Level 2 message."""" << std::endl); ^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ....",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-251115,Implement SASLPrep,[RFC-4013 SASLPrep|https://www.ietf.org/rfc/rfc4013.txt] is a prerequisite for implementation of SCRAM-SHA-256.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0
ISSUE-250886,Investigate alternatives to Catch2,"As described in https://codingnest.com/the-future-of-catch2/ after the next major release the plans to maintain Catch2 are up in the air. The next major release plans to drop support for VS2015/gcc 4.8, which we may not want to drop support for. Let's investigate alternatives like google test or decide if Catch2 is still okay with these downsides.",0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,3,0,1,0,1,0
ISSUE-251990,missing bsoncxx::document::view::empty,"It would be nice to have a function that checks if the underlying document is empty. Without that, the calling code has to compare the returned length() to 5 which is ugly. I've implemented it, will submit a PR soon",0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3,0,0,0,1,0
ISSUE-252201,Create buildvariant for Ubuntu 12.04,"Ubuntu 14.04 only supports MongoDB 2.6 enterprise. In order to test older enterprise versions, we need to add a buildvariant for Ubuntu 12.04.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-251862,Backport server r3.0.7..r3.0.8 changes,Candidate server SHAs for backport: -9967e79- 817c963 -90d0da8- bab3c56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-251902,Make special commands (inprog,"killop, unlock) go through the standard command codepath"""",",1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,3,2,3,2,1,1,1,1
ISSUE-250935,Create C++17 variants,To catch bugs like CXX-1689. Add builders for: (/) Visual Studio 2017 (x) latest clang (x) latest gcc.,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0
ISSUE-251484,collection::distinct return should allow iteration over results,"Currently, mongocxx::collection::distinct returns a mongocxx::cursor that provides a single document, the database reply document for the 'distinct' command. This is not in the spirit of the CRUD spec, which requires an iterator over the distinct *values*. Possible options: * Return a bsoncxx::array::value with the distinct keys as elements * Return a (synthesized) mongocxx::cursor over documents like this: // for keys a .. z ... Ideally, SERVER-3141 would get spec'd with a document format that we could emulate until it's implemented server-side as a command cursor.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-251767,Fix TODO comments about linking to documentation when available,"There are several TODO comments of the form """"todo add links to docs"""" or similar. All of those docs should now be published, so we should add the links.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-252082,Reparent OperationException below DBException,"Example failure 1 - """"OperationException: """" thrown in the test body"""" https://mci.10gen.com/task_log_raw/mongodb_cpp_driver_windows_64_msvc2010_static_static_2d738d6a1064920151f380513363027228258caf_15_01_26_16_09_40_integration_test_latest_windows_64_msvc2010_static_static/0?type=T#L360 Example failure 2: """"OperationException: """" thrown in the test body. https://mci.10gen.com/task_log_raw/mongodb_cpp_driver_windows_64_msvc2010_static_static_2d738d6a1064920151f380513363027228258caf_15_01_26_16_09_40_integration_test_latest_windows_64_msvc2010_static_static/1?type=T#L368 Example failure 3: MO 404 followed by SEH exception (?!?) https://mci.10gen.com/task_log_raw/mongodb_cpp_driver_windows_64_msvc2010_static_static_2d738d6a1064920151f380513363027228258caf_15_01_26_16_09_40_integration_test_latest_windows_64_msvc2010_static_static/2?type=T#L426",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-251826,Stream builder error for invalid context is unfriendly,"If you build an incomplete document with the stream builder, and you try to use it as a view, the error you get is unfriendly: auto builder = document{} << """"key"""" << """"value"""" << """"key""""; auto view = builder.view(); > """"not viewable""""",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ISSUE-252418,Remove dependency on boost program_options,The driver links this library but does not use it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
