issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Yes,d835c94a8bb69a97,mistral:7b,0,2026-06-08T19:15:51.093784+00:00
ISSUE-0002,Update UI #2,1,1,Yes,b007a1bb748c41c9,mistral:7b,0,2026-06-08T19:15:51.285234+00:00
ISSUE-0003,Add export feature #3,0,0,No,591815170004b5fa,mistral:7b,0,2026-06-08T19:15:51.801911+00:00
ISSUE-0004,Performance issue #4,0,1,Yes,9d3fd0c3d80534e4,mistral:7b,0,2026-06-08T19:15:52.297894+00:00
ISSUE-0005,Null pointer exception #5,1,0,No,2a0e7d25476c3dda,mistral:7b,0,2026-06-08T19:15:52.806658+00:00
ISSUE-0006,Search not working #6,0,1,Yes,eb162b31c6df02ed,mistral:7b,0,2026-06-08T19:15:53.306631+00:00
ISSUE-0007,Add dark mode #7,0,0,No,3b8175408a5cb36b,mistral:7b,0,2026-06-08T19:15:53.885802+00:00
ISSUE-0008,Crash on startup #8,0,0,No,2ebd11b0c074bb35,mistral:7b,0,2026-06-08T19:15:54.302922+00:00
ISSUE-0009,Email validation #9,1,0,No,2a2e081451881784,mistral:7b,0,2026-06-08T19:15:54.807856+00:00
ISSUE-0010,Database timeout #10,1,0,No,649c2ff73bfe5cbf,mistral:7b,0,2026-06-08T19:15:55.308457+00:00
ISSUE-0011,Missing error handling #11,0,1,Yes,8968b9cb1e36ccce,mistral:7b,0,2026-06-08T19:15:55.805969+00:00
ISSUE-0012,API rate limiting #12,1,0,No,65935fbd0ee2335d,mistral:7b,0,2026-06-08T19:15:56.286538+00:00
ISSUE-0013,Button color #13,1,1,Yes,7274547c12c52bb2,mistral:7b,0,2026-06-08T19:15:56.811014+00:00
ISSUE-0014,Memory leak #14,0,0,No,85d276f624c954ae,mistral:7b,0,2026-06-08T19:15:57.529800+00:00
ISSUE-0015,Update docs #15,0,0,No,3973cc4b5c2c91e0,mistral:7b,0,2026-06-08T19:15:57.826611+00:00
ISSUE-0016,File upload fails #16,1,0,No,91c41fed6cb2698a,mistral:7b,0,2026-06-08T19:15:58.354426+00:00
ISSUE-0017,Wrong total #17,1,1,Yes,462f23ec6fdf5e4e,mistral:7b,0,2026-06-08T19:15:58.814173+00:00
ISSUE-0018,Session expiry #18,1,0,No,e2afb4e0dbaf6d3a,mistral:7b,0,2026-06-08T19:15:59.321081+00:00
ISSUE-0019,Fix typo #19,1,1,Yes,69b9bc9ca747910e,mistral:7b,0,2026-06-08T19:15:59.818869+00:00
ISSUE-0020,Pagination broken #20,1,0,No,5d99db23f460b059,mistral:7b,0,2026-06-08T19:16:00.326170+00:00
ISSUE-0021,Add logging #21,1,1,Yes,6588fedb86daa66f,mistral:7b,0,2026-06-08T19:16:00.819641+00:00
ISSUE-0022,Two-factor auth #22,0,0,No,e8a6c97bc97cadd4,mistral:7b,0,2026-06-08T19:16:01.316543+00:00
ISSUE-0023,Improve something #23,0,1,Yes,b02361127d3d50ad,mistral:7b,0,2026-06-08T19:16:01.824531+00:00
