model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_01,title_only,0.5106,0.25,0.2667,0.2581,8,24,40,22,94
llama3.1,few_shot,Llama 3.1 8B,project_01,title_only,0.3723,0.3333,0.9667,0.4957,29,58,6,1,94
llama3.1,cot,Llama 3.1 8B,project_01,title_only,0.4831,0.3182,0.4667,0.3784,14,30,29,16,89
llama3.1,few_shot_cot,Llama 3.1 8B,project_01,title_only,0.3298,0.3226,1.0,0.4878,30,63,1,0,94
mistral,zero_shot,Mistral 7B Instruct v0.3,project_01,title_only,0.3404,0.3222,0.9667,0.4833,29,61,3,1,94
mistral,few_shot,Mistral 7B Instruct v0.3,project_01,title_only,0.3191,0.3191,1.0,0.4839,30,64,0,0,94
mistral,cot,Mistral 7B Instruct v0.3,project_01,title_only,0.3404,0.3222,0.9667,0.4833,29,61,3,1,94
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_01,title_only,0.3191,0.3152,0.9667,0.4754,29,63,1,1,94
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_01,title_only,0.6064,0.434,0.7667,0.5542,23,30,34,7,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_01,title_only,0.6915,0.5143,0.6,0.5538,18,17,47,12,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_01,title_only,0.3152,0.3023,0.8966,0.4522,26,60,3,3,92
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_01,title_only,0.3404,0.3261,1.0,0.4918,30,62,2,0,94
ensemble,zero_shot,ensemble,project_01,title_only,0.5319,0.3906,0.8333,0.5319,25,39,25,5,94
ensemble,few_shot,ensemble,project_01,title_only,0.3723,0.3333,0.9667,0.4957,29,58,6,1,94
ensemble,cot,ensemble,project_01,title_only,0.3298,0.3103,0.9,0.4615,27,60,4,3,94
ensemble,few_shot_cot,ensemble,project_01,title_only,0.3191,0.3191,1.0,0.4839,30,64,0,0,94
