model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_01,title_desc,0.8404,0.1333,0.5,0.2105,2,13,77,2,94
llama3.1,few_shot,Llama 3.1 8B,project_01,title_desc,0.6383,0.1053,1.0,0.1905,4,34,56,0,94
llama3.1,cot,Llama 3.1 8B,project_01,title_desc,0.6154,0.1026,1.0,0.186,4,35,52,0,91
llama3.1,few_shot_cot,Llama 3.1 8B,project_01,title_desc,0.1685,0.0513,1.0,0.0976,4,74,11,0,89
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_01,title_desc,0.6277,0.1026,1.0,0.186,4,35,55,0,94
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_01,title_desc,0.7128,0.129,1.0,0.2286,4,27,63,0,94
qwen2.5,cot,Qwen 2.5 14B Instruct,project_01,title_desc,0.1383,0.0471,1.0,0.0899,4,81,9,0,94
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_01,title_desc,0.1277,0.0465,1.0,0.0889,4,82,8,0,94
ensemble,zero_shot,ensemble,project_01,title_desc,0.8404,0.1333,0.5,0.2105,2,13,77,2,94
ensemble,few_shot,ensemble,project_01,title_desc,0.6383,0.1053,1.0,0.1905,4,34,56,0,94
ensemble,cot,ensemble,project_01,title_desc,0.617,0.1,1.0,0.1818,4,36,54,0,94
ensemble,few_shot_cot,ensemble,project_01,title_desc,0.1702,0.0488,1.0,0.093,4,78,12,0,94
