model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_03,title_desc,0.7391,0.0,0.0,0.0,0,24,68,0,92
llama3.1,few_shot,Llama 3.1 8B,project_03,title_desc,0.4022,0.0,0.0,0.0,0,55,37,0,92
llama3.1,cot,Llama 3.1 8B,project_03,title_desc,0.6,0.0,0.0,0.0,0,36,54,0,90
llama3.1,few_shot_cot,Llama 3.1 8B,project_03,title_desc,0.0864,0.0,0.0,0.0,0,74,7,0,81
mistral,zero_shot,Mistral 7B Instruct v0.3,project_03,title_desc,0.25,0.0,0.0,0.0,0,69,23,0,92
mistral,few_shot,Mistral 7B Instruct v0.3,project_03,title_desc,0.3587,0.0,0.0,0.0,0,59,33,0,92
mistral,cot,Mistral 7B Instruct v0.3,project_03,title_desc,0.2283,0.0,0.0,0.0,0,71,21,0,92
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_03,title_desc,0.1522,0.0,0.0,0.0,0,78,14,0,92
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_03,title_desc,0.6413,0.0,0.0,0.0,0,33,59,0,92
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_03,title_desc,0.7826,0.0,0.0,0.0,0,20,72,0,92
qwen2.5,cot,Qwen 2.5 14B Instruct,project_03,title_desc,0.1304,0.0,0.0,0.0,0,80,12,0,92
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_03,title_desc,0.1957,0.0,0.0,0.0,0,74,18,0,92
ensemble,zero_shot,ensemble,project_03,title_desc,0.5761,0.0,0.0,0.0,0,39,53,0,92
ensemble,few_shot,ensemble,project_03,title_desc,0.5435,0.0,0.0,0.0,0,42,50,0,92
ensemble,cot,ensemble,project_03,title_desc,0.2283,0.0,0.0,0.0,0,71,21,0,92
ensemble,few_shot_cot,ensemble,project_03,title_desc,0.0978,0.0,0.0,0.0,0,83,9,0,92
