model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_03,title_desc,0.9239,0.125,1.0,0.2222,1,7,84,0,92
llama3.1,few_shot,Llama 3.1 8B,project_03,title_desc,0.5109,0.0217,1.0,0.0426,1,45,46,0,92
llama3.1,cot,Llama 3.1 8B,project_03,title_desc,0.2353,0.0152,1.0,0.0299,1,65,19,0,85
llama3.1,few_shot_cot,Llama 3.1 8B,project_03,title_desc,0.5811,0.0312,1.0,0.0606,1,31,42,0,74
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_03,title_desc,0.4783,0.0204,1.0,0.04,1,48,43,0,92
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_03,title_desc,0.4891,0.0208,1.0,0.0408,1,47,44,0,92
qwen2.5,cot,Qwen 2.5 14B Instruct,project_03,title_desc,0.2,0.0145,1.0,0.0286,1,68,16,0,85
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_03,title_desc,0.2989,0.0161,1.0,0.0317,1,61,25,0,87
ensemble,zero_shot,ensemble,project_03,title_desc,0.9239,0.125,1.0,0.2222,1,7,84,0,92
ensemble,few_shot,ensemble,project_03,title_desc,0.5109,0.0217,1.0,0.0426,1,45,46,0,92
ensemble,cot,ensemble,project_03,title_desc,0.2308,0.0141,1.0,0.0278,1,70,20,0,91
ensemble,few_shot_cot,ensemble,project_03,title_desc,0.5385,0.0233,1.0,0.0455,1,42,48,0,91
