model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_04,title_desc,0.9011,0.0,0.0,0.0,0,8,82,1,91
llama3.1,few_shot,Llama 3.1 8B,project_04,title_desc,0.2088,0.0137,1.0,0.027,1,72,18,0,91
llama3.1,cot,Llama 3.1 8B,project_04,title_desc,0.1977,0.0143,1.0,0.0282,1,69,16,0,86
llama3.1,few_shot_cot,Llama 3.1 8B,project_04,title_desc,0.6026,0.0312,1.0,0.0606,1,31,46,0,78
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_04,title_desc,0.3516,0.0167,1.0,0.0328,1,59,31,0,91
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_04,title_desc,0.2857,0.0152,1.0,0.0299,1,65,25,0,91
qwen2.5,cot,Qwen 2.5 14B Instruct,project_04,title_desc,0.1279,0.0132,1.0,0.026,1,75,10,0,86
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_04,title_desc,0.1609,0.0135,1.0,0.0267,1,73,13,0,87
ensemble,zero_shot,ensemble,project_04,title_desc,0.9011,0.0,0.0,0.0,0,8,82,1,91
ensemble,few_shot,ensemble,project_04,title_desc,0.2088,0.0137,1.0,0.027,1,72,18,0,91
ensemble,cot,ensemble,project_04,title_desc,0.2,0.0137,1.0,0.027,1,72,17,0,90
ensemble,few_shot_cot,ensemble,project_04,title_desc,0.573,0.0256,1.0,0.05,1,38,50,0,89
